viajes23,monto_sinavion,montoxdia_sinavion,empleado,duracion,inicio_fecha,inicio_hora,fin_fecha,fin_hora,cancelado,destino,tipo_corto,anticipo,comprobación_fecha,dga,unidad
V14450,415.8999939,415.8999939,E112,1,07/09/2023,9:00:00,07/09/2023,17:00:00,,Nogales,GC,0,20/09/2023,DG9,Sur
V02995,415.5000038,415.5000038,E558,1,11/04/2023,9:00:00,11/04/2023,17:00:00,,Puente Nacional,GC,0,25/04/2023,DG9,Sur
V11764,415.4900055,415.4900055,E433,1,13/10/2023,10:00:00,13/10/2023,18:00:00,,Naolinco,GC,0,03/11/2023,DG9,Sur
V14580,415.3300018,415.3300018,E338,1,06/09/2023,9:00:00,06/09/2023,16:00:00,,Yautepec,GC,0,08/09/2023,DG9,Sur
V17568,415.269989,415.269989,E523,1,18/07/2023,9:00:00,18/07/2023,14:00:00,,Villa de Reyes,GC,0,26/07/2023,DG9,Occidente
V14570,415.0100041,415.0100041,E230,1,06/09/2023,10:00:00,06/09/2023,16:00:00,,Lerdo,GC,0,27/09/2023,DG9,Norte
V02243,415,415,E533,1,04/05/2023,9:30:00,04/05/2023,12:30:00,,Villagrán,GC,0,08/05/2023,DG9,Occidente
V17130,414.9999981,414.9999981,E738,1,27/07/2023,8:00:00,27/07/2023,18:00:00,,Bacalar,GC,0,31/07/2023,DG9,Sureste
V17145,414.9999981,414.9999981,E921,1,27/07/2023,7:00:00,27/07/2023,18:00:00,,Bacalar,GC,0,31/07/2023,DG9,Sureste
V02615,414.9999885,414.9999885,E833,1,25/04/2023,7:30:00,25/04/2023,19:00:00,,José Sixto Verduzco,GC,0,28/04/2023,DG1,Estrategia
V11349,414.8999939,414.8999939,E643,1,19/10/2023,10:00:00,19/10/2023,17:00:00,,Tonalá,GC,0,30/10/2023,DG9,Occidente
V11837,414.8999939,414.8999939,E095,1,12/10/2023,10:00:00,12/10/2023,16:00:00,,Asientos,GC,0,18/10/2023,DG9,Occidente
V10416,414.699997,414.699997,E630,1,31/10/2023,10:00:00,31/10/2023,22:00:00,,Ensenada,GC,0,03/11/2023,DG9,Noroeste
V12633,414.699997,414.699997,E630,1,03/10/2023,8:30:00,03/10/2023,14:00:00,,Ensenada,GC,0,18/10/2023,DG9,Noroeste
V18005,414.5600014,414.5600014,E915,1,06/07/2023,10:40:00,06/07/2023,19:30:00,,Pueblo Viejo,GC,0,14/07/2023,DG9,Sur
V02029,414.4000015,414.4000015,E833,1,11/05/2023,10:00:00,11/05/2023,16:00:00,,Pátzcuaro,GC,0,18/05/2023,DG1,Estrategia
V04602,414.4000015,414.4000015,E833,1,23/02/2023,8:30:00,23/02/2023,19:00:00,,José Sixto Verduzco,GC,0,27/02/2023,DG1,Estrategia
V15763,414.3000031,414.3000031,E095,1,18/08/2023,8:00:00,18/08/2023,18:00:00,,El Llano,GC,0,25/08/2023,DG9,Occidente
V09977,414.199997,414.199997,E349,1,07/11/2023,13:00:00,07/11/2023,21:00:00,,Santiago,GC,0,14/11/2023,DG9,Norte
V04666,414.0100021,414.0100021,E763,1,22/02/2023,9:00:00,22/02/2023,14:00:00,,Puente de Ixtla,GC,0,03/03/2023,DG9,Sur
V03072,414.0000038,414.0000038,E095,1,31/03/2023,10:45:00,31/03/2023,19:00:00,,Asientos,GC,0,05/04/2023,DG9,Occidente
V03110,414.0000038,414.0000038,E749,1,31/03/2023,10:30:00,31/03/2023,18:00:00,,Asientos,GC,0,10/04/2023,DG9,Occidente
V01612,414,414,E618,1,19/05/2023,11:30:00,19/05/2023,18:00:00,,Navolato,GC,0,31/05/2023,DG9,Noroeste
V09441,414,414,E624,1,14/11/2023,11:30:00,14/11/2023,17:00:00,,Tamazula de Gordiano,GC,0,23/11/2023,DG9,Occidente
